"Address","Size","Name"
"00410ad0","18","VehicleAI::SetEvadeCatchupParams"
"00410af0","18","VehicleAI::SetTargetCatchupParams"
"00410b10","45","VehicleAI::ResetControllerValues"
"00410b40","208","VehicleAI::Reset"
"00410c10","34","VehicleAI::Initialize"
"00410c40","12","VehicleAI::Finalize"
"00410c50","60","VehicleAI::Update"
"00410c90","95","VehicleAI::SetActive"
"00410cf0","15","VehicleAI::GetPosition"
"00410d00","19","VehicleAI::GetHeading"
"00410d20","7","VehicleAI::SetMaxShortcutSkill"
"00410d30","7","VehicleAI::SetMinShortcutSkill"
"00410d40","51","VehicleAI::EnterLimbo"
"00410d80","22","VehicleAI::ExitLimbo"
"00410da0","69","VehicleAI::DetermineShortcutSkill"
"00410df0","36","VehicleAI::ResetCatchUpParams"
"00410e20","180","VehicleAI::FillPathElements"
"00410ee0","473","VehicleAI::UpdateSelf"
"004110c0","503","VehicleAI::FollowRoad"
"004112c0","186","VehicleAI::FindClosestSegment"
"00411380","8","VehicleAI::ResetSegments"
"00411390","127","VehicleAI::ShiftSegments"
"00411410","4042","VehicleAI::FillSegments"
"004123f0","236","VehicleAI::GetPosAheadAlongRoad"
"004124e0","918","VehicleAI::UpdateSegments"
"00412880","774","VehicleAI::EvadeTraffic"
"00412b90","234","VehicleAI::DoSteering"
"00412c80","1630","VehicleAI::CheckState"
"00413310","439","VehicleAI::DriveTowards"
"004134d0","23","VehicleAI::SetDestination"
"004134f0","23","VehicleAI::SetNextDestination"
"00413510","227","VehicleAI::FindClosestPathElement"
"00413600","56","FUN_00413600"
"00413640","56","FUN_00413640"
"00413680","60","FUN_00413680"
"004136c0","47","FUN_004136c0"
"004136f0","55","FUN_004136f0"
"00413730","36","pddiColour::Set"
"00413760","139","WaypointAI::WaypointAI"
"004137f0","27","WaypointAI::~WaypointAI"
"00413810","18","WaypointAI::meth_0x413810"
"00413830","119","WaypointAI::Update"
"004138b0","58","WaypointAI::Initialize"
"004138f0","35","WaypointAI::Reset"
"00413920","464","WaypointAI::UpdateNeedToWaitForPlayer"
"00413af0","203","WaypointAI::PossiblyUseTurbo"
"00413bc0","27","FUN_00413bc0"
"00413be0","813","WaypointAI::DoCatchUp"
